PLAYER_NAME,GAME_ID,TEAM_NAME_FROM_DATA,TEAM_POINTS,TOTAl_PLAYER_POINTS,WINNING_TEAM,WINNING_POINTS,LOSING_TEAM,LOSING_POINTS,PLAYER_CONTRIBUTION,AVG_PLAYER_CONTRIBUTION
Eric Williams,20000808,Celtics,85,13,Celtics,85,SuperSonics,80,0.15294117647058825,0.07833276085890553
Eric Williams,20001020,Celtics,114,10,Celtics,114,Hawks,112,0.08771929824561403,0.07833276085890553
Eric Williams,20000500,Celtics,86,4,Celtics,86,Heat,76,0.046511627906976744,0.07833276085890553
Eric Williams,20000612,Celtics,99,10,Celtics,99,Suns,81,0.10101010101010101,0.07833276085890553
Eric Williams,20000948,Celtics,87,8,Celtics,87,Nuggets,81,0.09195402298850575,0.07833276085890553
Eric Williams,20000649,Celtics,102,8,Celtics,102,Pacers,96,0.0784313725490196,0.07833276085890553
Eric Williams,20000370,Celtics,92,5,Celtics,92,Knicks,84,0.05434782608695652,0.07833276085890553
Eric Williams,20000837,Celtics,101,9,Celtics,101,Jazz,99,0.0891089108910891,0.07833276085890553
Eric Williams,20000159,Celtics,94,5,Celtics,94,Rockets,81,0.05319148936170213,0.07833276085890553
Eric Williams,20000984,Celtics,113,6,Celtics,113,Nets,96,0.05309734513274336,0.07833276085890553
Eric Williams,20000562,Celtics,80,4,Celtics,80,Clippers,79,0.05,0.07833276085890553
Eric Williams,20000202,Celtics,85,14,Celtics,85,Cavaliers,72,0.16470588235294117,0.07833276085890553
Eric Williams,20000747,Celtics,83,6,Celtics,83,Trail Blazers,81,0.07228915662650602,0.07833276085890553
Eric Williams,20000940,Celtics,103,3,Celtics,103,Suns,101,0.02912621359223301,0.07833276085890553
Eric Williams,20000028,Celtics,93,2,Celtics,93,Raptors,89,0.021505376344086023,0.07833276085890553
Eric Williams,20001055,Celtics,79,7,Celtics,79,Hornets,78,0.08860759493670886,0.07833276085890553
Eric Williams,20000888,Celtics,101,3,Celtics,101,Wizards,72,0.0297029702970297,0.07833276085890553
Eric Williams,20000722,Celtics,98,3,Celtics,98,Grizzlies,97,0.030612244897959183,0.07833276085890553
Eric Williams,20000242,Celtics,94,5,Celtics,94,Clippers,87,0.05319148936170213,0.07833276085890553
Eric Williams,20000588,Celtics,83,13,Celtics,83,Hawks,81,0.1566265060240964,0.07833276085890553
Eric Williams,20000541,Celtics,107,7,Celtics,107,Timberwolves,100,0.06542056074766354,0.07833276085890553
Eric Williams,20000038,Celtics,89,5,Celtics,89,Cavaliers,89,0.056179775280898875,0.07833276085890553
Eric Williams,20000126,Celtics,106,6,Celtics,106,Hawks,97,0.05660377358490566,0.07833276085890553
Eric Williams,20001065,Celtics,80,6,Celtics,80,Heat,77,0.075,0.07833276085890553
Eric Williams,20000360,Celtics,97,5,Celtics,97,Nets,86,0.05154639175257732,0.07833276085890553
Eric Williams,20000294,Celtics,104,3,Celtics,104,Nuggets,100,0.028846153846153848,0.07833276085890553
Eric Williams,20000664,Celtics,102,17,Celtics,102,Pistons,93,0.16666666666666666,0.07833276085890553
Eric Williams,20000678,Celtics,103,14,Celtics,103,Cavaliers,80,0.13592233009708737,0.07833276085890553
Lee Nailon,20000494,Hornets,100,9,Hornets,100,Bulls,95,0.09,0.05881580142730146
Lee Nailon,20000211,Hornets,103,6,Hornets,103,Raptors,77,0.05825242718446602,0.05881580142730146
Lee Nailon,20000386,Hornets,88,2,Hornets,88,Spurs,82,0.022727272727272728,0.05881580142730146
Lee Nailon,20000470,Hornets,85,5,Hornets,85,Clippers,73,0.058823529411764705,0.05881580142730146
Lee Nailon,20000278,Hornets,90,8,Hornets,90,Clippers,87,0.08888888888888889,0.05881580142730146
Lee Nailon,20000264,Hornets,91,2,Hornets,91,Pacers,88,0.02197802197802198,0.05881580142730146
Lee Nailon,20000314,Hornets,99,4,Hornets,99,Kings,90,0.04040404040404041,0.05881580142730146
Lee Nailon,20000186,Hornets,109,3,Hornets,109,Cavaliers,96,0.027522935779816515,0.05881580142730146
Lee Nailon,20000516,Hornets,86,15,Hornets,86,Bulls,83,0.1744186046511628,0.05881580142730146
Lee Nailon,20000378,Hornets,83,4,Hornets,83,Timberwolves,72,0.04819277108433735,0.05881580142730146
Lee Nailon,20000236,Hornets,94,2,Hornets,94,Jazz,86,0.02127659574468085,0.05881580142730146
Lee Nailon,20000362,Hornets,65,6,Hornets,65,Heat,54,0.09230769230769231,0.05881580142730146
Lee Nailon,20000637,Hornets,91,5,Hornets,91,Warriors,85,0.054945054945054944,0.05881580142730146
Lee Nailon,20000161,Hornets,86,2,Hornets,86,76ers,73,0.023255813953488372,0.05881580142730146
Lee Nailon,20000399,Hornets,113,12,Hornets,113,Cavaliers,110,0.10619469026548672,0.05881580142730146
Lee Nailon,20000328,Hornets,101,5,Hornets,101,Wizards,89,0.04950495049504951,0.05881580142730146
Lee Nailon,20000176,Hornets,106,3,Hornets,106,Bucks,88,0.02830188679245283,0.05881580142730146
Lee Nailon,20000337,Hornets,99,5,Hornets,99,Celtics,85,0.050505050505050504,0.05881580142730146
Lee Nailon,20000149,Hornets,100,6,Hornets,100,Raptors,62,0.06,0.05881580142730146
Michael Smith,20000614,Wizards,106,2,Wizards,106,Hawks,97,0.018867924528301886,0.044904401902558025
Michael Smith,20000755,Wizards,101,4,Wizards,101,Nuggets,95,0.039603960396039604,0.044904401902558025
Michael Smith,20000462,Wizards,96,5,Wizards,96,Bulls,96,0.052083333333333336,0.044904401902558025
Michael Smith,20000632,Wizards,93,4,Wizards,93,Cavaliers,89,0.043010752688172046,0.044904401902558025
Michael Smith,20000953,Wizards,93,3,Wizards,93,Hornets,93,0.03225806451612903,0.044904401902558025
Michael Smith,20000056,Wizards,88,5,Wizards,88,Bulls,81,0.056818181818181816,0.044904401902558025
Michael Smith,20000589,Wizards,97,9,Wizards,97,Hornets,92,0.09278350515463918,0.044904401902558025
Michael Smith,20001031,Wizards,116,4,Wizards,116,Warriors,98,0.034482758620689655,0.044904401902558025
Michael Smith,20001140,Wizards,113,4,Wizards,113,Magic,108,0.035398230088495575,0.044904401902558025
Michael Smith,20000983,Wizards,97,1,Wizards,97,Warriors,94,0.010309278350515464,0.044904401902558025
Michael Smith,20000900,Wizards,107,4,Wizards,107,Nets,98,0.037383177570093455,0.044904401902558025
Michael Smith,20000880,Wizards,88,13,Wizards,88,Cavaliers,81,0.14772727272727273,0.044904401902558025
Michael Smith,20000618,Wizards,87,2,Wizards,87,Suns,82,0.022988505747126436,0.044904401902558025
Michael Smith,20000926,Wizards,103,7,Wizards,103,Pistons,94,0.06796116504854369,0.044904401902558025
Michael Smith,20000438,Wizards,108,2,Wizards,108,Pistons,96,0.018518518518518517,0.044904401902558025
Michael Smith,20000183,Wizards,107,1,Wizards,107,Bucks,98,0.009345794392523364,0.044904401902558025
Michael Smith,20000442,Wizards,113,9,Wizards,113,Timberwolves,108,0.07964601769911504,0.044904401902558025
Michael Smith,20000017,Wizards,93,3,Wizards,93,Hornets,77,0.03225806451612903,0.044904401902558025
Michael Smith,20000580,Wizards,92,2,Wizards,92,Hawks,90,0.021739130434782608,0.044904401902558025
Shandon Anderson,20000431,Rockets,112,15,Rockets,112,Mavericks,99,0.13392857142857142,0.09760840536923823
Shandon Anderson,20000776,Rockets,87,7,Rockets,87,Timberwolves,83,0.08045977011494253,0.09760840536923823
Shandon Anderson,20000923,Rockets,127,14,Rockets,127,Pacers,116,0.11023622047244094,0.09760840536923823
Shandon Anderson,20000790,Rockets,105,6,Rockets,105,Magic,93,0.05714285714285714,0.09760840536923823
Shandon Anderson,20000686,Rockets,98,11,Rockets,98,Knicks,86,0.11224489795918367,0.09760840536923823
Shandon Anderson,20000219,Rockets,107,6,Rockets,107,Nuggets,105,0.056074766355140186,0.09760840536923823
Shandon Anderson,20000939,Rockets,108,7,Rockets,108,Nets,104,0.06481481481481481,0.09760840536923823
Shandon Anderson,20000292,Rockets,111,2,Rockets,111,SuperSonics,103,0.018018018018018018,0.09760840536923823
